ds,yhat,yhat_lower,yhat_upper
2023-01-01,35449.99147647208,35449.9914395664,35449.99151181834
2023-02-01,44060.01233396194,44060.01229997037,44060.012370490906
2023-03-01,28989.98888622521,28989.988849717833,28989.988924657864
2023-04-01,33870.006764364996,33870.00672813446,33870.00680031943
2023-05-01,53149.99385922344,53149.99382392191,53149.99389603356
2023-06-01,36715.00974651367,36715.00971023824,36715.00978105874
2023-07-01,35464.99921103292,35464.99917444581,35464.99924692562
2023-08-01,36960.002290774624,36960.002257266846,36960.002327354254
2023-09-01,23619.995654554914,23619.99562201068,23619.995691343527
2023-10-01,46580.003309613094,46580.00327441048,46580.00334916739
2023-11-01,34920.00279328538,34920.00275625321,34920.00282829504
2023-12-01,44690.00573002592,44690.00569491791,44690.00576948584
2024-01-01,1530.0004643788925,1530.000426994511,1530.0004993883483
2024-02-01,1112.4897745728874,1112.487223975773,1112.4922196757059
2024-03-01,10820.776417910498,10820.744348826607,10820.809420553112
2024-04-01,3394.0843246982677,3394.0730278165806,3394.0964965743656
2024-05-01,-29184.461995333037,-29184.576662092244,-29184.350274144745
2024-06-01,-60266.16660909426,-60266.437872433904,-60265.903558366714
2024-07-01,41284.42430302479,41284.22850918557,41284.62882090526
