Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,segmento
CUST001,39,1,150,5,1,3,513,9,Cliente nuevo
CUST002,309,1,1000,1,1,4,114,6,Perdido
CUST003,354,1,30,1,1,1,111,3,Perdido
CUST004,226,1,500,2,1,4,214,7,Perdido
CUST005,241,1,100,2,1,2,212,5,Perdido
CUST006,252,1,30,2,1,1,211,4,Perdido
CUST007,295,1,50,1,1,1,111,3,Perdido
CUST008,314,1,100,1,1,2,112,4,Perdido
CUST009,20,1,600,5,1,4,514,10,Cliente nuevo
CUST010,87,1,200,4,1,3,413,8,Cliente nuevo
CUST011,322,1,100,1,1,2,112,4,Perdido
CUST012,64,1,75,5,1,2,512,8,Cliente nuevo
CUST013,150,1,1500,3,1,5,315,9,Potencial
CUST014,350,1,120,1,1,3,113,5,Perdido
CUST015,351,1,2000,1,1,5,115,7,Perdido
CUST016,319,1,1500,1,1,5,115,7,Perdido
CUST017,255,1,100,2,1,2,212,5,Perdido
CUST018,247,1,50,2,1,1,211,4,Perdido
CUST019,108,1,50,4,1,1,411,6,Cliente nuevo
CUST020,58,1,900,5,1,4,514,10,Cliente nuevo
CUST021,353,1,500,1,1,4,114,6,Perdido
CUST022,79,1,100,4,1,2,412,7,Cliente nuevo
CUST023,265,1,120,2,1,3,213,6,Perdido
CUST024,34,1,300,5,1,4,514,10,Cliente nuevo
CUST025,7,1,50,5,1,1,511,7,Cliente nuevo
CUST026,87,1,1000,4,1,4,414,9,Cliente nuevo
CUST027,152,1,50,3,1,1,311,5,Potencial
CUST028,254,1,500,2,1,4,214,7,Perdido
CUST029,137,1,30,4,1,1,411,6,Cliente nuevo
CUST030,65,1,900,5,1,4,514,10,Cliente nuevo
CUST031,224,1,1200,3,1,5,315,9,Potencial
CUST032,363,1,90,1,1,2,112,4,Perdido
CUST033,285,1,100,2,1,2,212,5,Perdido
CUST034,9,1,150,5,1,3,513,9,Cliente nuevo
CUST035,150,1,900,3,1,4,314,8,Potencial
CUST036,192,1,900,3,1,4,314,8,Potencial
CUST037,224,1,75,3,1,2,312,6,Potencial
CUST038,287,1,200,2,1,3,213,6,Perdido
CUST039,256,1,120,2,1,3,213,6,Perdido
CUST040,194,1,50,3,1,1,311,5,Potencial
CUST041,314,1,50,1,1,1,111,3,Perdido
CUST042,319,1,900,1,1,4,114,6,Perdido
CUST043,172,1,300,3,1,4,314,8,Potencial
CUST044,317,1,25,1,1,1,111,3,Perdido
CUST045,183,1,30,3,1,1,311,5,Potencial
CUST046,190,1,1200,3,1,5,315,9,Potencial
CUST047,57,1,1500,5,1,5,515,11,Cliente nuevo
CUST048,231,1,900,2,1,4,214,7,Perdido
CUST049,344,1,1000,1,1,4,114,6,Perdido
CUST050,131,1,75,4,1,2,412,7,Cliente nuevo
CUST051,92,1,75,4,1,2,412,7,Cliente nuevo
CUST052,303,1,300,1,1,4,114,6,Perdido
CUST053,173,1,100,3,1,2,312,6,Potencial
CUST054,326,1,1500,1,1,5,115,7,Perdido
CUST055,84,1,120,4,1,3,413,8,Cliente nuevo
CUST056,216,1,900,3,1,4,314,8,Potencial
CUST057,45,1,30,5,1,1,511,7,Cliente nuevo
CUST058,50,1,1200,5,1,5,515,11,Cliente nuevo
CUST059,181,1,50,3,1,1,311,5,Potencial
CUST060,71,1,150,5,1,3,513,9,Cliente nuevo
